business_id|name|city|state|latitude|longitude|stars|review_count|price|genres|avg score
8QlnAcjGE6dgfKTVoxrPvQ|Boston Market|Pittsburgh|PA|40.495167|-79.958717|2.5|3|2|American (Traditional) /// Comfort Food /// Caterers /// Event Planning & Services|N/A
t_gan0EXAw8csKIeFyazJw|Homestead Capri Pizza|Homestead|PA|40.4067047|-79.9105266|3.5|3|1|Italian /// Pizza|3.33
6ilJq_05xRgek_8qUp36-g|Steak 'n Shake|Munhall|PA|40.413496|-79.9044562|2.0|48|1|Burgers /// Fast Food|1.93
1qCuOcks5HRv67OHovAVpg|Duke's Upper Deck Cafe|Homestead|PA|40.405311|-79.912595|3.5|26|2|Pubs /// Bars /// American (New) /// Nightlife|3.65
sbW8qHJgzEIH42B0S-3New|Dave & Buster's|Homestead|PA|40.4092932|-79.9141865|2.5|85|2|Arts & Entertainment /// American (Traditional) /// Bars /// Pubs /// Arcades /// Nightlife|2.78
W7ysp8GLCBrs0GXIVwAcBQ|Wendy's|Homestead|PA|40.4097098|-79.9017997|2.0|5|1|Burgers /// Fast Food|1.75
-taSf0shFSUKy9iCXnySsA|Italian Village Pizza|Homestead|PA|40.3925524|-79.9000102|2.5|4|N/A|Pizza|2.0
McikHxxEqZ2X0joaRNKlaw|Rock Bottom|Homestead|PA|40.4094353|-79.9152619|3.5|124|2|Food /// American (Traditional) /// Breweries|3.35
EoAY1JSVeJriBzId8lUQwQ|Bar Louie|West Homestead|PA|40.4070709|-79.917508|2.5|74|2|Bars /// American (New) /// Nightlife|2.7
TfvWSIAMFZ9zI3y2-K6wOA|The Dragon Chinese Cuisine|Munhall|PA|40.3868368|-79.9029475|3.5|5|1|Chinese|3.25
tU-YtoW339PXJmUGSix_AQ|TGI Friday's|Homestead|PA|40.410874319|-79.9155451419|2.5|19|2|Bars /// American (Traditional) /// Nightlife|2.53
6p9TlP2I8S4agxYMNFSDjg|Uno Pizzeria & Grill|Homestead|PA|40.410967|-79.9141364|3.0|41|2|American (Traditional) /// Pizza /// Gluten-Free|2.95
JDDeaNfb0JXD1NbznSIC9g|P.F. Chang's China Bistro|West Homestead|PA|40.4073551|-79.9158429|3.0|82|2|Gluten-Free /// Asian Fusion /// Chinese|3.07
FiXamVMgMf9U0VqFHDZSEA|Panera Bread|West Homestead|PA|40.407174|-79.916603|3.0|22|1|Soup /// Sandwiches /// Salad|3.15
uLnDFdn011hEroQQMLmxNQ|The Pizza Company|Munhall|PA|40.3857182|-79.9032997|3.5|8|1|Pizza|3.5
eznh0XjVtv924K-KYx_ilQ|Eat'n Park|Homestead|PA|40.4113236|-79.9132525|3.0|43|1|American (Traditional) /// Diners|3.0
usSROUMiAgPcxV3Ym0OxMQ|Mitchell's Fish Market|Pittsburgh/Waterfront|PA|40.4088783792|-79.9180894261|3.5|99|3|Seafood|3.51
CL3tZqbYT7B5zgewKCS6-Q|McDonald's|West Mifflin|PA|40.3849854|-79.8626605|1.0|3|N/A|Burgers /// Fast Food|1.0
u22QDAON1kk0wjoTliyftw|Latina Pizza|West Mifflin|PA|40.389192|-79.868305|4.0|3|1|Pizza|4.0
53Yk2EODWnV9qHQECzeHVQ|Bellisario Pizza Shop|West Mifflin|PA|40.3736775|-79.8737336|3.0|4|1|Pizza|3.0
iBZRphMDFcS2aMbawc1OvA|Hunan Wok Chinese Restaurant|West Mifflin|PA|40.3736775|-79.8737336|5.0|4|1|Chinese|4.75
GJAv1nAfnHuab8oRyr8mXg|Eat'n Park Restaurant|McKees Rocks|PA|40.4641404|-80.0579296|4.0|4|1|American (Traditional)|3.75
r8BwdblCW-ZUES37BL0khw|Broadway Brunch|McKees Rocks|PA|40.472505|-80.074153|4.5|17|1|Burgers /// Breakfast & Brunch /// Diners|4.71
mIiHJkpK8nZvW_45LlhrbA|Pasquarelli's Pizza House|Mc Kees Rocks|PA|40.4660133|-80.0653055|4.0|12|2|Pizza|4.0
OZfpG8tDCcIEq8pzgZdyKw|Applebee's|McKees Rocks|PA|40.46562|-80.0656106|3.5|6|2|Bars /// American (Traditional) /// Burgers /// Nightlife /// Sports Bars|3.75
8Nm_jcCYtMXYW0ODSHDiXA|Sapporo Japanese Steakhouse|Pittsburgh|PA|40.4400036|-80.0909106|4.5|7|3|Japanese|4.17
T49ZvBa6mD4xHSmjHe-ArA|R & B's Pizza Place|Bellvue|PA|40.4941577|-80.0532928|4.0|14|1|Pizza|3.93
eOv0Dbq2E8sd0CKMAqTImw|Luigi's Pizzeria|Bellevue|PA|40.495887|-80.056877|4.0|17|2|Pizza|4.0
_jsJFrAmFVPRio0eEVExbA|McDonald's|Pittsburgh|PA|40.492067|-80.06235|2.0|6|1|Burgers /// Fast Food|2.4
Lml0-yTNsMYsP9IrSMxw9A|China Sea Chinese Restaurant|Bellevue|PA|40.4972056|-80.0583585|3.0|9|1|Chinese|3.0
JX2gDf2uy2UGuKPpcKT-IA|Wendy's|Pittsburgh|PA|40.4940896|-80.0635357|1.5|4|1|Burgers /// Fast Food|1.5
QVZBd_eu0oJ4IN0md2XPTQ|Vivo|Bellevue|PA|40.4964326|-80.057809|5.0|4|4|Italian|5.0
udZJ8YgsHdqtFDQkyPTV1Q|Arby's|Pittsburgh|PA|40.4876741|-80.055667|3.0|4|1||2.75
ucKQlQvOeJxETLNkpKcaSw|Rusty Nail|Bellevue|PA|40.4966408|-80.057381|3.5|24|1|American (Traditional)|3.55
ZL6DNzyenFm9Kpz6uADlNg|Pino's Contemporary Italian Restaurant & Wine Bar|Pittsburgh|PA|40.450249|-79.9145|3.0|60|2|Tapas/Small PlatesItalian|3.14
OcTG-KzDleuRub-pb6JS3Q|Eddie's Pizza Haus|Pittsburgh|PA|40.4852544|-79.9259754|4.0|5|1|Pizza|4.0
Y2p07YEC8xOsYTHWf0UxiA|Tasty Chinese Restaurant|Pittsburgh|PA|40.458497|-79.9246661|2.5|21|1|Chinese|2.67
g58NW9q4F09wTMiI7EIjmg|Vento's Pizza|Pittsburgh|PA|40.4653904|-79.9229971|3.0|14|1|Italian /// Pizza|3.2
Pu5uzlZ05pqVlx6LcZbfgw|Minutello's Restaurant & Lounge|Pittsburgh|PA|40.4588237|-79.9223818|3.0|8|2|Italian /// Pizza|3.11
83_p9vIqOq1TUIf3_GD7bA|Tazza D'oro Cafe & Espresso Bar|Pittsburgh|PA|40.4748883|-79.9188657|4.5|106|1|Food /// Coffee & Tea /// Cafes|4.33
Ts4xsKPU7FNPPZRj-nRjIg|Buffalo Blues|Pittsburgh|PA|40.4583902|-79.9255146|3.0|64|2|BarsSports Bars /// Barbeque /// Nightlife|2.91
UtWJ8NGMg-3z28s0RzlUoQ|China Garden|Pittsburgh|PA|40.4579893|-79.9181411|3.0|14|1|Chinese|3.0
bZcqORBnVApUA2-SEn7VEQ|McDonald's|Pittsburgh|PA|40.4588455683|-79.9184470786|2.0|6|1|Burgers /// Fast Food|1.83
B9C6j80ob0f1pwi1Cnnd1Q|Pizza Parma|Pittsburgh|PA|40.4582251|-79.9251182|3.0|29|2|Pizza|2.82
tvXTHj9V5sgRoeVJW_FiTg|Jimmy Tsang's Chinese Restaurant|Pittsburgh|PA|40.4571291|-79.9334864|3.0|12|2|Chinese|2.82
2SwC8wqpZC4B9iFVTgYT9A|Casbah|Pittsburgh|PA|40.458138|-79.924797|4.0|251|3|Bars /// Mediterranean /// Wine Bars /// NightlifeDiners|4.03
PzG0XmAmtXFs6Fdnubf41g|Quiet Storm Vegetarian & Vegan Cafe|Pittsburgh|PA|40.464485|-79.935388|4.0|146|1|Food /// Coffee & Tea /// Vegetarian|3.8
lHP5STO7aomlEQixH8m1aA|Pizza Perfectta|Pittsburgh|PA|40.4572561|-79.9253542|4.0|60|2|Pizza|3.95
-iVcmhjfq79QoTWzrb6pKg|East End Food Co-Op|Pittsburgh|PA|40.4481991|-79.8954753|4.5|71|2|Health Markets /// Food /// VegetarianSpecialty Food|4.3
l_Wey2YC6NvVUIH8vTygGg|Cafe Zinho|Pittsburgh|PA|40.4578038|-79.9274383|4.0|61|2|Portuguese /// Mediterranean|4.16
Y3E5QDlKmjHD2zOSPASFIA|Maietta Restaurant|Pittsburgh|PA|40.415694|-79.98694|4.0|5|1||4.0
W7-Ybhe6JWJFXjcbmgvdyA|Great Wall Chinese Food|Pittsburgh|PA|40.4146974|-79.9876465|3.0|3|1|Chinese|2.5
qUeBDN0D8SC93KeAHhiL-g|Alla Famiglia|Pittsburgh|PA|40.4216133|-79.9934293|4.5|101|4|Italian|4.44
YXuvFMtygHPFEOEXgRtgLQ|No 1 China House|Pittsburgh|PA|40.4218885|-79.992839|2.5|5|1|Chinese|2.75
LltDzuzRbAJbSrqD4JH-3A|Hunan Wok Chinese Takeout|Pittsburgh|PA|40.3919558|-79.9874081|2.5|8|2|Chinese|2.5
VkqKyq09rDYMhFk5nElWWA|Bishop's Pizza|Pittsburgh|PA|40.393115|-79.986911|3.0|5|2|Food /// Ice Cream & Frozen Yogurt /// Pizza|3.0
QIJa5h2d65Bgh82zct7c7A|Frank & Shirley's Restaurant|Pittsburgh|PA|40.3886503|-79.9965975|4.0|20|1|American (Traditional) /// Diners|3.82
PTkChuI3GPCw-ZL1Iph76A|DiCarlo's Original Pizza|Pittsburgh|PA|40.3922377|-79.997446|4.0|9|1|Italian /// Pizza|4.14
BbIh5NTizhV4Fq_mLmNkpg|Long John Silver's|Pittsburgh|PA|40.387167|-79.98224|1.5|3|1|Seafood /// Fast Food|1.67
Ga0y-XHa4os_VvoHz21bfQ|Anthony's Pizza|Pittsburgh|PA|40.396531|-79.987919|3.5|7|2|Pizza|3.71
IxQ1ATP_Wg_QujO9nywzcQ|Max's Allegheny Tavern|Pittsburgh|PA|40.4551576|-79.999728|4.0|140|2|German /// Pubs /// Bars /// Nightlife|3.89
TyIsuojeKcTb4Acfg7xqew|China Taste|Pittsburgh|PA|40.4541341|-79.9981189|4.0|12|1|Chinese|4.17
oj8bMz76cKXQClpFTFNW9w|North Shore Deli|Pittsburgh|PA|40.4535473|-79.9992608|4.5|10|1|Delis|4.3
k1A8pNspBPinGDivxkuDSA|Clark Bar & Grill|Pittsburgh|PA|40.4489884|-80.0088714|3.5|11|2|Bars /// American (Traditional) /// Nightlife|3.5
-nO_qj9eP-os3baYyh8eNA|Pasta Too|Pittsburgh|PA|40.455833|-80.006512|4.0|4|N/A|Pizza|4.0
e5DtayybW4jbKcDBwEUmOQ|Mullin's Diner|Pittsburgh|PA|40.452646|-79.993788|4.0|9|1||3.78
CqHTknOJHZZncWzGtpbNsA|Ron's Pizza Palace|Pittsburgh|PA|40.4620001|-79.9838764|2.5|5|1|Pizza|2.5
OjzR6hUYasFReo0vhVn0-w|Teutonia Mannerchor|Pittsburgh|PA|40.455167|-79.994957|4.5|9|2|German /// Beer, Wine & Spirits /// Food|4.25
6AnorAMPkTdSDbUkOoV1Rw|Billy's Troy Hill Bistro|Pittsburgh|PA|40.4645128|-79.9823112|3.0|5|2|Cafes|2.83
49nxzKLr2qQnLF58qo2p1w|Heinz USA|Pittsburgh|PA|40.4550779|-79.9913252|5.0|4|1||4.67
rEKBr81s19Soh3dYj4bcGQ|Pizza Hut|Pittsburgh|PA|40.4563367|-80.0071993|2.5|6|2|Italian /// Pizza /// Chicken Wings|2.33
q_BKmbdlYfQJroJVHfYMUQ|Legends North Shore|Pittsburgh|PA|40.4566092|-80.0015054|4.0|83|2|Italian|4.01
99WYCuBEsO7OUCDWbbrrew|Subway|Pittsburgh|PA|40.4500892|-80.0181629|2.5|5|1|Fast Food /// Sandwiches|2.5
vMCCvnDU-Iz_D_pmbcMqzA|Peanutz|Pittsburgh|PA|40.4534897|-80.0012207|2.5|7|1|Bars /// American (New) /// Nightlife|2.43
hUV4bjXE8Ijd-pDNr8S6mA|Steves New York Hotdog Shop|Pittsburgh|PA|40.455929|-80.0065429|4.5|6|1|Hot Dogs|4.67
Od9niVya8G5BD3a1l2ss-g|Lillen's Restaurant|Pittsburgh|PA|40.4534811|-79.9994015|4.5|3|1||4.25
Z101WZaISochG6g7tI2ZVw|Atria's Restaurant|Pittsburgh|PA|40.4480678|-80.0042395|3.0|59|2|American (New) /// Sandwiches|2.85
Eixtf79t1_ZKaC-7J2kAWg|Pickles Pizza & Sandwich Emporium|Pittsburgh|PA|40.4535915|-80.0008071|3.5|14|1|Pizza|3.54
Z0OGW8PysysRXE0dR7QxQQ|Wilson's Bar-B-Q|Pittsburgh|PA|40.4562032|-80.0144357|4.0|17|2|Barbeque|4.0
I9-Ei8_KYtMjbixNJSCvwA|The Isaly Company|Pittsburgh|PA|40.4534946|-79.9993338|3.5|4|1|Food /// Ice Cream & Frozen Yogurt /// Delis|3.0
yfuoL_w76WFVHcGJbw0IIg|Nick's Place|Pittsburgh|PA|40.484693|-80.0355244|3.5|8|2|Pizza|3.5
AAcw9y30cRuMo0oa8UBiIw|Wiseguys Pizza|Pittsburgh|PA|40.4763098|-80.0311303|3.5|7|2|Pizza|3.43
YUZVBdGmagwXV-yOhR-1GQ|Miller's Seafood House|Pittsburgh|PA|40.4851129|-80.0416964|3.0|12|2|Seafood|2.75
OIL-eZX8d10jgWPLW-E7zA|Chubby's Pizza & Hoagies Northside|Pittsburgh|PA|40.4810675|-80.0413982|3.0|11|1|Pizza|3.0
PSlOtPIo28BvWOzdLmRRRQ|Knossos Gyros & Sis-Kabob|Pittsburgh|PA|40.3959965|-80.0350383|3.5|13|1|Polish /// Greek|3.58
wan0X-oHpLgGTPXqaICZCw|Huddle|Pittsburgh|PA|40.409125|-80.024957|4.0|10|1|Bars /// Nightlife|3.8
QnyzlVMyx0Exri-Lay10cA|Sushi Three|Pittsburgh|PA|40.3885629|-80.0493898|3.5|19|2|Sushi Bars /// Japanese|3.63
81sqVj0xHyJXGYT0ip5fmQ|Green Garden|Pittsburgh|PA|40.38892|-80.049921|2.5|9|2|Chinese|2.63
m61vZsAxmTEq3uiCjFjM8Q|Tom's Diner|Pittsburgh|PA|40.3942666|-80.0350906|3.5|33|1|Diners|3.31
93UCt9OgWYmypZCpXtUu8g|Beto's Pizza|Pittsburgh|PA|40.4127159|-80.0303354|4.0|127|1|Pizza|3.8
za5fND9-pXyVSk5rM28MsQ|Slapshots|Pittsburgh|PA|40.3930433|-80.0366408|2.5|3|N/A|Dive Bars /// Bars /// American (New) /// Nightlife|2.33
ORTRrw3ClZ0Ld0LgY1H_5g|Eat'n Park Restaurant|Pittsburgh|PA|40.3957953|-80.0335782|3.5|19|1|Fast Food /// American (Traditional)|3.69
9aw0t0rlACKkMaxsX0KlKA|Dairy Queen|Pittsburgh|PA|40.3959782|-80.0464983|3.5|7|1|Food /// Ice Cream & Frozen Yogurt /// Fast Food|3.83
5Udv4CASAXB2eH66TefWPQ|Cain's Saloon|Pittsburgh|PA|40.3897336|-80.0409102|3.5|87|2|American (New)|3.36
2Igiyhi82R8_QaaPplRmCw|The Dor-Stop Restaurant|Pittsburgh|PA|40.396012|-80.034727|4.5|237|1|Breakfast & Brunch /// Diners|4.33
Cex2R008tMFg8R5fAtf77w|Campiti's Don Pizzeria|Pittsburgh|PA|40.3966306|-80.0357966|3.5|31|1|Pizza|3.48
n7G2XFGvmS3duDJ4AzjKiQ|Namaste India|Pittsburgh|PA|40.420335|-80.030114|3.0|24|2|Indian|2.92
8tBfgYCI6Fz9xrSYCYCYXA|Maharaja Restaurant|Pittsburgh|PA|40.420335|-80.030114|3.5|10|1|Indian|3.3
Tb7hQ37UFA2QFaMwjFieQw|Arby's|Pittsburgh|PA|40.414716|-80.03063|2.5|6|N/A|Fast Food|2.0
qemCNgjeYGcFsRwxW9x4xw|Bado's Pizza Grill And Ale House|Pittsburgh|PA|40.3886105|-80.0499034|3.5|72|2|Bars /// Pizza /// Nightlife|3.62
iudRNo5Q8W7firUBYJEqQQ|Little Nipper's Pizza|Pittsburgh|PA|40.388527|-80.0495449|2.5|11|2|Pizza|2.38
2X5G4Ujq0s4Wfn4TC7gX0g|D's Six Pax & Dogz|Pittsburgh|PA|40.432022|-79.893834|4.5|266|2|Pubs /// Bars /// Hot Dogs /// Nightlife|4.29
XQ7elqSFIRogvqpiTZz-Wg|Dunning's Grill|Pittsburgh|PA|40.432599|-79.894243|3.0|21|2|American (Traditional)|3.0
JL5B_s1EoN4zIru4JSw4Qg|Taco Bell|Pittsburgh|PA|40.427135|-79.890649|3.0|5|1|Fast Food /// Mexican /// Tex-Mex|2.67
IafkUjO5CiXAu9LfB4_Sgg|Rudy Martino Original House of Submarines|Pittsburgh|PA|40.421259|-79.890285|5.0|4|1|Sandwiches /// Diners|5.0
OS1fGOcx_Erie5gujWIFNQ|China House II|Swissvale|PA|40.422307|-79.8893217|3.5|3|1|Chinese|3.5
DzOPHyrG2XuVqKEvHCnN7w|Triangle Bar & Grill|Pittsburgh|PA|40.4175696|-79.8879525|4.5|43|1|Nightlife /// Bars /// Sandwiches|4.49
nqRNOug4OMrYTTZg-qLxXA|Veltre's Pizza|Swissvale|PA|40.4209717|-79.886521|4.0|13|2|Pizza|4.23
K8Ebs8G1rwc3DBdznHvDxg|Wendy's|Pittsburgh|PA|40.42523807|-79.8883623271|2.5|5|1|Burgers /// Fast Food|2.4
h3la53L9-OX_HlfeAySh0Q|Applebee's|Pittsburgh|PA|40.4273028|-79.8886844|2.5|13|2|Bars /// American (Traditional) /// Burgers /// Nightlife /// Sports Bars|2.46
1vQLTKwmcmZXtNzfKEvMmA|Benihana|Pittsburgh|PA|40.392287|-80.070269|3.0|45|3|Sushi Bars /// Japanese|2.93
hhNlQWaKqGbMPoeZHoL-IQ|Mad Mex - South Hills|Pittsburgh|PA|40.3906976|-80.070806|3.5|84|2|Mexican /// Tex-Mex|3.43
GEw1pLdbMlJecvQkKBIgSw|Pizza Hut|Pittsburgh|PA|40.3954394|-80.0657414|2.0|3|1|Italian /// Pizza /// Chicken Wings|2.0
SgQYRICpMdWCmY7wM2Cmcw|Max & Erma's|Pittsburgh|PA|40.3932957|-80.0656653|2.5|22|2|American (Traditional)|2.65
m0QsJDntW1MrWCxBVFwuAg|Wendy's|Pittsburgh|PA|40.392802|-80.062098|1.5|5|2|Burgers /// Fast Food|1.5
uwiD9jxs09xxXG0by_xKuA|Bruegger's Bagels|Pittsburgh|PA|40.392551|-80.061579|3.0|8|1|Food /// Sandwiches /// Bagels /// Breakfast & Brunch|2.75
mrbfnIXD5U4pMxuZgKedOw|Sichuan House Chinese Restaurant|Pittsburgh|PA|40.3923379|-80.0662223|3.5|3|2|Chinese|3.67
sNmQJQWEVGheCnw5Tf4Phg|Panera Bread|Pittsburgh|PA|40.395932|-80.067397|3.5|16|2|Soup /// Sandwiches /// Salad|3.58
jrSGpWnVJy8jqgN6XSC7Nw|Aracri's Greentree Inn|Pittsburgh|PA|40.4168479|-80.0453929|4.0|13|3|American (New)|3.75
EtnMSBRlMQWrdTla-jz9RA|Tramp's Restaurant|Pittsburgh|PA|40.4356718|-80.0340934|3.0|5|1|Bars /// American (Traditional) /// Nightlife|3.33
KZXtzoI84iI1CEcAnD7OPA|Vincent's of Greentree|Pittsburgh|PA|40.4210420362|-80.0501069554|3.5|43|2|Italian /// Pizza|3.42
zpNGtjBlIkDq_PLGSCPlAg|Olive Garden Italian Restaurant|Pittsburgh|PA|40.4198341|-80.0456525|3.5|24|2|Bars /// Salad /// Wine Bars /// Nightlife /// Italian|3.32
ZS7-I04iDm4oRP_GJsJqrA|Boston Market|Pittsburgh|PA|40.418092|-80.0460082|4.0|9|1|Event Planning & Services /// American (Traditional) /// Caterers /// Comfort Food|3.5
FtjvnLhh51ZBYEpKAARaFQ|Soho|Pittsburgh|PA|40.4483207|-80.0043186|3.0|93|2|American (New)|3.0
z4cCguoHdU48pj6sXMIzqg|Original Fish Market|Pittsburgh|PA|40.4441681|-79.994852|2.5|74|3|Seafood|2.57
sbTF0cLKZH6_BP8BLARVDg|Bossa Nova|Pittsburgh|PA|40.4439388|-80.0006057|2.5|28|3|Tapas Bars /// Bars /// Nightlife|2.73
OxIeMVcop5oxBUWANi-1Rw|Olive Or Twist|Pittsburgh|PA|40.4429033|-80.0025614|3.5|181|2|Bars /// Cocktail Bars /// Nightlife /// Lounges /// American (New)|3.64
imzKM9-mgN1Yk_RIXx3IgA|Sunseri Jimmy & Nino|Pittsburgh|PA|40.450964|-79.984628|4.0|23|1|Food /// Ethnic Food /// Specialty FoodItalian|3.72
IEHaU93HpEbdUO4z4bKzDw|Jo Jo's Restaurant|Pittsburgh|PA|40.4540368|-79.9814643|3.5|19|1|American (Traditional)|3.67
NeUf9FyCCIN4MEseNyqkXQ|Primanti Bros|Pittsburgh|PA|40.440287|-80.002585|3.5|420|1|Chicken Wings /// Sandwiches|3.38
JcP-IIrZkW_Yyv4a0yLRCw|Monte Cello's Downtown|Pittsburgh|PA|40.4077836|-80.0930463|3.0|10|1|Pizza /// Italian /// Sandwiches|2.9
4LcFKTr6Ah87VcxW2z5e6w|McDonald's|Pittsburgh|PA|40.4422917|-79.9989455|2.5|4|1|Burgers /// Fast Food|2.75
buVALudg30kgkDusqB3yJw|Reyna Foods|Pittsburgh|PA|40.4514856|-79.9834035|4.5|87|1|Food /// Grocery /// Mexican|4.21
wHi8ODv7TGmeUB02XoX-mA|Roland's Seafood Grill|Pittsburgh|PA|40.4505899|-79.9842832|2.5|171|2|Seafood|2.65
WXpi9z1bqF9raZSW8z70Ow|Salonika Gyros|Pittsburgh|PA|40.4432077|-80.0021285|3.5|37|1|Greek /// Mediterranean|3.42
j7kgLc4Uys_sb-H7_Velcg|Brown Bag Delis|Pittsburgh|PA|40.4442087|-79.9946687|2.5|7|1|DelisEvent Planning & Services /// Caterers|2.82
DhDNNHZtaBxYNSqJz64ixg|La Gondola Pizzeria & Restaurant|Pittsburgh|PA|40.4400655|-80.0025144|4.5|27|1|Italian|4.24
PxP19Rb88OQKiSMl2oWNsg|Christos Mediterranean Grille|Pittsburgh|PA|40.4432466658|-80.0022544159|3.0|61|2|Greek /// Mediterranean /// Middle Eastern|3.05
9mwShpTgZofOujt4JfyGmw|Spaghetti Warehouse|Pittsburgh|PA|40.455916|-79.979271|2.5|92|2|Italian|2.48
90Fqfzd8zD9AuuNBSv9lAg|Morton's The Steakhouse|Pittsburgh|PA|40.442533|-80.000855|4.0|61|4|Steakhouses|3.83
pfS0Bd-sXZyMNr73kJPeaw|Gateway Center Cafeteria|Pittsburgh|PA|40.442222|-80.0044807|4.0|4|1|Cafeteria|3.33
KEzIorUdFjqCuxbRxKPghA|Mamma Lucia Pizza|Pittsburgh|PA|40.4403955|-80.0010018|4.0|8|1|Pizza|3.88
pvGT62T6Ci1LKOS9DL42pg|Peppi's|Pittsburgh|PA|40.436969|-80.0004543|4.0|20|1|Sandwiches|4.1
OT3yVpDrDVITDCIYox8d9A|Buon Giorno Cafe|Pittsburgh|PA|40.43866|-80.005135|3.5|5|2|Italian|3.4
8AskFIgGxqNb8RbcDCAfmA|Madonna's Restaurant|Pittsburgh|PA|40.4395902449|-79.9992012978|4.0|7|1|Mexican|4.0
A2XkbJ07hrR80t0EFgLikQ|Smithfield Cafe|Pittsburgh|PA|40.442558|-79.997214|3.5|16|1|American (Traditional) /// Cafes|3.5
L5387MoRyx9orlRyYfCSPA|Andy's Sushi Bar|Pittsburgh|PA|40.450111|-79.9858749|4.0|43|2|Sushi Bars|4.05
dHDi4wCcjsOR6vcZ8oOIoA|Sushi Kim Restaurant|Pittsburgh|PA|40.4464777|-79.9916741|3.0|93|2|Korean /// Sushi Bars|3.21
41CXLCeB8z2oNdIOvnrzIA|Redfin Blues|Pittsburgh|PA|40.4634021|-79.9776298|2.5|56|2|Seafood|2.63
OhwF2JDqlYMZl5Rp3WRBog|Arby's|Pittsburgh|PA|40.4421708|-79.9990003|1.5|3|1|American (New)|2.0
l2gPB9mqiHSbpwSUa7zrjg|F. Tambellini Ristorante|Pittsburgh|PA|40.443577|-80.000162|2.0|17|2|Italian|1.88
gfpl_GyyY5uj6zJnIdzImQ|Caffe Amante|Pittsburgh|PA|40.441888|-80.003443|3.5|10|2|Cafes|3.3
l-OmDgEd4QkZpyXVpkp2yA|Villa Reale Pizzeria & Restaurant|Pittsburgh|PA|40.4421419|-79.996955|3.5|25|2|Pizza|3.26
0FgwBx7pgmNdUtsd_T8UYQ|Ruths Chris Steak House|Pittsburgh|PA|40.4394267|-80.0038037|4.0|64|4|Steakhouses|3.89
SzHTdZR3yY1WBYUxkVxmUQ|Papa J's Centro|Pittsburgh|PA|40.4389116|-80.0032374|3.0|18|2|Italian|3.28
xgcZN3F2f9LxLASQK_xzhw|Smallman Street Deli|Pittsburgh|PA|40.4582377|-79.97509|4.0|24|1|Delis|4.1
_aGVicux2dJm9sqzLSCJtg|Subway|Pittsburgh|PA|40.4427514|-79.9997098|3.5|3|1|Fast Food /// Sandwiches|3.33
uUorjstNslr3gkIsVGtQAg|Max & Erma's Restaurants|Pittsburgh|PA|40.4431765|-80.0042813|3.5|15|2|American (Traditional)|3.24
GSiHJG8LqTn5ZQAY1r9q9w|Liang's Hunan Restaurant|Pittsburgh|PA|40.4434132|-79.9961509|1.5|7|1|Chinese|1.38
0Lsd35rHY6UtPFHjjxJ1LA|1902 Tavern|Pittsburgh|PA|40.441207|-80.0031108|2.5|7|3|American (Traditional)|2.75
Bza-l75OiKcMRmTYILpyfQ|Wiener World|Pittsburgh|PA|40.4422344518|-79.9971354078|3.5|18|1|Hot Dogs|3.58
-TSFapUMwdyyxoi2egkOhw|Sammy's Famous Corned Beef|Pittsburgh|PA|40.439202|-79.9989485|2.5|8|1|Steakhouses|2.88
1E53rS8afK2jiLod8Jwy7A|Fu Lai Chinese Restaurant|Pittsburgh|PA|40.4428479|-80.0031124|2.5|22|1|Chinese|2.47
